   Date      Time   Shock Type   V_sh                Shock Normal          theta_1   theta_2     B_1           B_2       V_1       V_2      den_1     den_2          T_1       T_2       M_A1      M_A2     M_ms1         M_ms2      C_s1      C_s2      V_A1      V_A2         V_fms1    V_fms2    V_sms1    V_sms2  
2000-02-14 07:36:00     FF      591.9             ['-0.75', '0.01', '-0.66']     63.1      71.1      6.3               10.4     572.8     614.3      3.1       4.8             161786.4  299307.5    2.0       1.2       1.3               0.7       91.2     110.0      77.3      86.1             116.4     137.9      27.4      22.3   
2000-06-08 09:08:00     FF      871.3             ['-0.98', '-0.18', '0.07']     81.6      87.8      6.9               19.4     526.7     776.9      4.6       14.0            220152.4 1003811.4    7.8       1.2       3.2               0.6       99.6     177.5      45.4      98.7             109.3     203.1      6.0       3.3    
2000-08-14 22:27:00     FF      476.5             ['-0.66', '0.66', '-0.36']     50.8      80.2      3.4               11.5     493.2     549.9      7.0       10.9            53854.0   137952.1    5.6       1.2       1.8               0.8       73.1      87.5      25.0      74.2              75.7     114.3      15.2      9.7    
2000-09-06 17:17:00     FF      583.1            ['-0.96', '-0.29', '-0.04']     86.7      87.8      12.3              19.1     421.2     483.4      13.0      21.5            73502.7   148925.3    2.5       1.3       1.7               0.9       76.7      89.2      72.2      85.6             105.3     123.6      3.0       2.3    
2000-10-03 00:54:00     FF      501.6             ['-0.99', '-0.04', '0.10']     50.9      61.2      5.6               7.3      391.6     426.6      6.8       10.9            102429.7  157828.1    2.5       1.5       1.3               0.7       81.7      90.6      45.6      47.0              89.8     100.0      26.1      20.5   
2000-10-03 01:00:00     FF      476.8            ['-0.90', '-0.40', '-0.16']     66.5      76.1      5.9               9.2      404.0     432.2      8.1       12.5            123420.9  171314.8    2.8       1.4       1.2               0.7       85.2      92.6      40.4      54.0              93.1     106.6      14.7      11.3   
2000-10-05 03:35:00     FF      561.2             ['-0.94', '-0.11', '0.34']     73.8      82.9      7.3               16.4     359.0     444.7      6.9       12.6            18972.1   81766.1     3.6       1.2       2.5               0.9       66.2      78.1      60.5     100.8              88.8     127.3      12.6      7.7    
2000-11-06 09:59:00     FF      639.6             ['-0.86', '0.44', '-0.25']     41.2      67.5      6.7               10.6     498.5     596.9      2.4       4.6             116644.3  312046.3    3.4       1.3       2.4               0.9       84.1     111.6      71.4     102.1             100.8     148.3      44.8      29.4   
2000-05-27 22:37:00    SFD      253.3             ['-0.52', '0.27', '0.81']      73.5      58.7      5.6               4.0      408.3     432.2      4.6       5.9             80954.6   100073.5    0.5       0.8       2.2               0.3       78.0      81.3      55.8      26.8              95.0      84.6      13.0      13.4   
2000-07-11 02:41:00    SRD       91.5              ['0.32', '0.33', '0.89']      72.4      62.4      15.3              12.5     458.2     433.5      6.8       14.7            59475.1   85871.7     0.7       0.7       4.5               0.4       74.1      78.9     127.4      56.7             146.1      94.6      19.5      21.9   
2000-11-24 11:10:00    SRD      183.0             ['0.56', '-0.40', '-0.72']     84.2      74.2      11.7              9.6      405.5     396.8      4.3       7.2             50850.3   88815.2     0.4       0.7       6.8               0.3       72.5      79.4     122.1      35.0             141.9      86.3      6.3       8.8    
